"createdAt","id","text","displayTextRangeStart","displayTextRangeEnd","source","isTruncated","inReplyToStatusId","inReplyToUserId","isFavorited","isRetweeted","favoriteCount","place__name","place__countryCode","place__id","place__country","place__placeType","place__url","place__fullName","place__boundingBoxType","place__boundingBoxCoordinates__latitude","place__boundingBoxCoordinates__longitude","inReplyToScreenName","retweetCount","isPossiblySensitive","lang","userMentionEntities__name","userMentionEntities__screenName","userMentionEntities__id","userMentionEntities__start","userMentionEntities__end","urlEntities__url","urlEntities__expandedURL","urlEntities__displayURL","urlEntities__start","urlEntities__end","mediaEntities__id","mediaEntities__url","mediaEntities__mediaURL","mediaEntities__mediaURLHttps","mediaEntities__expandedURL","mediaEntities__displayURL","mediaEntities__sizes__|","mediaEntities__sizes__|__width","mediaEntities__sizes__|__height","mediaEntities__sizes__|__resize","mediaEntities__type","mediaEntities__videoAspectRatioWidth","mediaEntities__videoAspectRatioHeight","mediaEntities__videoDurationMillis","mediaEntities__start","mediaEntities__end","hashtagEntities__text","hashtagEntities__start","hashtagEntities__end","currentUserRetweetId","user__id","user__name","user__screenName","user__location","user__description","user__descriptionURLEntities__url","user__descriptionURLEntities__expandedURL","user__descriptionURLEntities__displayURL","user__descriptionURLEntities__start","user__descriptionURLEntities__end","user__urlEntity__url","user__urlEntity__expandedURL","user__urlEntity__displayURL","user__urlEntity__start","user__urlEntity__end","user__isContributorsEnabled","user__profileImageUrl","user__profileImageUrlHttps","user__isDefaultProfileImage","user__url","user__isProtected","user__followersCount","user__profileBackgroundColor","user__profileTextColor","user__profileLinkColor","user__profileSidebarFillColor","user__profileSidebarBorderColor","user__profileUseBackgroundImage","user__isDefaultProfile","user__showAllInlineMedia","user__friendsCount","user__createdAt","user__favouritesCount","user__utcOffset","user__profileBackgroundImageUrl","user__profileBackgroundImageUrlHttps","user__profileBannerImageUrl","user__profileBackgroundTiled","user__lang","user__statusesCount","user__isGeoEnabled","user__isVerified","user__translator","user__listedCount","user__isFollowRequestSent","quotedStatusId"
"Oct 26, 2018 12:27:50 PM","1055858553129336838","Judge waits @CNNPolitics https://t.co/RrDy7JRsfh JUDGE YOU ALREADY KNOW THE ANSWER!> ‘whoever should dare to sap th… https://t.co/kWk2ujPnf3","-1","-1","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","True","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","CNN Politics","CNNPolitics","13850422","12","24","https://t.co/RrDy7JRsfh","https://cnn.it/2JfdsfP","cnn.it/2JfdsfP","25","48","","","","","","","","","","","","","","","","","","","","-1","4852279979","Mel Lin","M3ll1n","","","","","","","","","","","","","False","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","True","","False","5","F5F8FA","333333","1DA1F2","DDEEF6","C0DEED","True","True","False","0","Jan 26, 2016 11:13:40 PM","51","-1","","","","False","en","11696","False","False","False","4","False","-1"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/kWk2ujPnf3","https://twitter.com/i/web/status/1055858553129336838","twitter.com/i/web/status/1…","117","140","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oct 26, 2018 12:13:39 PM","1055854981927059457","Judge waits to hear if sitting president can be sued before ruling on Trump Foundation @CNN https://t.co/2aJWmznIv6","-1","-1","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","False","-1","-1","False","False","1","","","","","","","","","","","","0","False","en","CNN","CNN","759251","87","91","https://t.co/2aJWmznIv6","https://cnn.it/2JfdsfP","cnn.it/2JfdsfP","92","115","","","","","","","","","","","","","","","","","","","","-1","824378326571696137","Can'tMakeThis💩Up","ThePrezIsInsane","Florida, USA","I block ❌s, #MAGAts and #Morons!\n#Resist \n#BlueWave2018\nCongrats @RedSox\nGo @Patriots","","","","","","","","","","","False","http://pbs.twimg.com/profile_images/1052584304323129344/GQWnQ0Zt_normal.jpg","https://pbs.twimg.com/profile_images/1052584304323129344/GQWnQ0Zt_normal.jpg","False","","False","647","F5F8FA","333333","1DA1F2","DDEEF6","C0DEED","True","True","False","571","Jan 25, 2017 5:08:04 PM","92178","-1","","","https://pbs.twimg.com/profile_banners/824378326571696137/1539790629","False","en","53633","False","False","False","8","False","-1"
"Oct 26, 2018 12:10:55 PM","1055854295977930752","This will head up to the SCOTUS where they will suddenly change their mind about what they thought when Clinton was… https://t.co/cooPfHPcvw","-1","-1","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","True","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","","","","","","https://t.co/cooPfHPcvw","https://twitter.com/i/web/status/1055854295977930752","twitter.com/i/web/status/1…","117","140","","","","","","","","","","","","","","","","","","","","-1","42749878","Mark Lambert","mlambert890","40.421119,-75.361986","Technologist, gamer, arch-geek, occasional pundit, all around enthusiast... Before: Microsoft, VMware, Amazon, Google, others... These days The Facebook","","","","","","https://t.co/zTePobJxul","http://www.complaintsincorporated.com","complaintsincorporated.com","0","23","False","http://pbs.twimg.com/profile_images/789692354445791232/myAukJmM_normal.jpg","https://pbs.twimg.com/profile_images/789692354445791232/myAukJmM_normal.jpg","False","https://t.co/zTePobJxul","False","826","131516","333333","009999","EFEFEF","EEEEEE","True","False","False","1501","May 26, 2009 7:07:31 PM","863","-1","http://abs.twimg.com/images/themes/theme14/bg.gif","https://abs.twimg.com/images/themes/theme14/bg.gif","https://pbs.twimg.com/profile_banners/42749878/1408388541","True","en","4688","True","False","False","9","False","-1"
"Oct 26, 2018 12:08:18 PM","1055853637107253250","Judge waits to hear if sitting president can be sued before ruling on Trump Foundation @CNNPolitics https://t.co/hb6P9mKYMJ","-1","-1","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","False","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","CNN Politics","CNNPolitics","13850422","87","99","https://t.co/hb6P9mKYMJ","https://cnn.it/2JfdsfP","cnn.it/2JfdsfP","100","123","","","","","","","","","","","","","","","","","","","","-1","780496597377363968","blackthorne","ravenmatters","USA","Progressive ♎️ #SupportTheArts #BuyLocalBuyIndependent #TheResistance #FollowBackResistance #FBR #LGBTQ #TrumpRussia #SoFuckingNOTWithHer","","","","","","","","","","","False","http://pbs.twimg.com/profile_images/954539829651361792/l1S_rQyt_normal.jpg","https://pbs.twimg.com/profile_images/954539829651361792/l1S_rQyt_normal.jpg","False","","False","1570","F5F8FA","333333","1DA1F2","DDEEF6","C0DEED","True","True","False","2141","Sep 26, 2016 3:57:44 PM","1453","-1","","","https://pbs.twimg.com/profile_banners/780496597377363968/1516415459","False","en","72024","True","False","False","6","False","-1"
"Oct 26, 2018 12:03:05 PM","1055852322025132032","Judge waits to hear if sitting president can be sued before ruling on Trump Foundation @CNNPolitics https://t.co/MkHET09xLf","-1","-1","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","False","-1","-1","False","False","1","","","","","","","","","","","","0","False","en","CNN Politics","CNNPolitics","13850422","87","99","https://t.co/MkHET09xLf","https://cnn.it/2JfdsfP","cnn.it/2JfdsfP","100","123","","","","","","","","","","","","","","","","","","","","-1","283833814","justin brent","0nehunter69","San Diego Ca","Big Adam Lambert fan. Love to hear his music played on the radio.","","","","","","","","","","","False","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","True","","False","737","000000","000000","9266CC","000000","000000","False","False","False","2342","Apr 17, 2011 11:33:37 PM","1118","-1","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","","False","en","22010","True","False","False","32","False","-1"
"Oct 26, 2018 11:43:58 AM","1055847514748923904","Even if trump senior is removed the case will proceed against the three spawn!  Judge waits to hear if sitting pres… https://t.co/pKK9bJYJNy","-1","-1","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","True","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","","","","","","https://t.co/pKK9bJYJNy","https://twitter.com/i/web/status/1055847514748923904","twitter.com/i/web/status/1…","117","140","","","","","","","","","","","","","","","","","","","","-1","913824123373199360","Mark Mathews","MyMarkX","New York, USA","Tired of yelling in the wind...joined twitter to yell into a keyboard.. yell back I'm a big boy I can take it.","","","","","","","","","","","False","http://pbs.twimg.com/profile_images/1045006042764128262/6DQYjHvS_normal.jpg","https://pbs.twimg.com/profile_images/1045006042764128262/6DQYjHvS_normal.jpg","False","","False","17","000000","000000","ABB8C2","000000","000000","False","False","False","88","Sep 29, 2017 1:53:43 PM","62","-1","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","https://pbs.twimg.com/profile_banners/913824123373199360/1537983819","False","en","38","False","False","False","0","False","-1"
"Oct 26, 2018 11:40:35 AM","1055846662298451968","Judge waits to hear if sitting president can be sued before ruling on Trump Foundation @CNNPolitics https://t.co/TuXsiufEm8","-1","-1","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","False","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","CNN Politics","CNNPolitics","13850422","87","99","https://t.co/TuXsiufEm8","https://cnn.it/2JfdsfP","cnn.it/2JfdsfP","100","123","","","","","","","","","","","","","","","","","","","","-1","1042449443562283009","RealTruthSpeaker #VetsResistSquadron","SpeakerReal","The Planet","Was TruthSpeaker, but account was hacked. Veteran with 4 Degrees. Advocate for those with the softest voices. I can work with ignorance, but not stupidity.","","","","","","","","","","","False","http://pbs.twimg.com/profile_images/1042450644584423424/dRiLrvgk_normal.jpg","https://pbs.twimg.com/profile_images/1042450644584423424/dRiLrvgk_normal.jpg","False","","False","1204","F5F8FA","333333","1DA1F2","DDEEF6","C0DEED","True","True","False","1914","Sep 19, 2018 12:24:49 PM","1856","-1","","","https://pbs.twimg.com/profile_banners/1042449443562283009/1537633778","False","en","4081","False","False","False","0","False","-1"
"Oct 26, 2018 11:25:50 AM","1055842951291580417","Trump Crime and The Trump Family Crime Business. Judge waits to hear if sitting president can be sued before ruling… https://t.co/JYo6k30xUQ","-1","-1","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","True","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","","","","","","https://t.co/JYo6k30xUQ","https://twitter.com/i/web/status/1055842951291580417","twitter.com/i/web/status/1…","117","140","","","","","","","","","","","","","","","","","","","","-1","422055225","Allan Bassett","AllanBassett1","@ under a rainbow","Author Paybacks (fiction) & Blassco's Blog. Wellness & Recovery, Writer, Psychology, Humour, Social Engineering, Photography, Rainbows and Backstopping.","","","","","","","","","","","False","http://pbs.twimg.com/profile_images/2303300336/o4biaql630qekdxln1sx_normal.jpeg","https://pbs.twimg.com/profile_images/2303300336/o4biaql630qekdxln1sx_normal.jpeg","False","","False","602","022330","333333","0084B4","C0DFEC","A8C7F7","True","False","False","573","Nov 26, 2011 2:01:58 PM","459","-1","http://abs.twimg.com/images/themes/theme15/bg.png","https://abs.twimg.com/images/themes/theme15/bg.png","","False","en","19925","True","False","False","11","False","-1"
"Oct 26, 2018 11:15:48 AM","1055840424911429633","Judge waits to hear if sitting president can be sued before ruling on Trump Foundation - CNNPolitics https://t.co/5VYyLkN5wS","-1","-1","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","False","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","","","","","","https://t.co/5VYyLkN5wS","https://www.cnn.com/2018/10/25/politics/trump-foundation-lawsuit-wait/index.html","cnn.com/2018/10/25/pol…","101","124","","","","","","","","","","","","","","","","","","","","-1","719243145263869952","jennah_anne","jennahannee","","vote blue in 2018","","","","","","","","","","","False","http://pbs.twimg.com/profile_images/1049985244588363777/tfNrF7GU_normal.jpg","https://pbs.twimg.com/profile_images/1049985244588363777/tfNrF7GU_normal.jpg","False","","False","2942","F5F8FA","333333","1DA1F2","DDEEF6","C0DEED","True","True","False","745","Apr 10, 2016 3:18:23 PM","145230","-1","","","https://pbs.twimg.com/profile_banners/719243145263869952/1539170964","False","en","183923","True","False","False","67","False","-1"
