"createdAt","id","text","displayTextRangeStart","displayTextRangeEnd","source","isTruncated","inReplyToStatusId","inReplyToUserId","isFavorited","isRetweeted","favoriteCount","place__name","place__countryCode","place__id","place__country","place__placeType","place__url","place__fullName","place__boundingBoxType","place__boundingBoxCoordinates__latitude","place__boundingBoxCoordinates__longitude","inReplyToScreenName","retweetCount","isPossiblySensitive","lang","userMentionEntities__name","userMentionEntities__screenName","userMentionEntities__id","userMentionEntities__start","userMentionEntities__end","urlEntities__url","urlEntities__expandedURL","urlEntities__displayURL","urlEntities__start","urlEntities__end","mediaEntities__id","mediaEntities__url","mediaEntities__mediaURL","mediaEntities__mediaURLHttps","mediaEntities__expandedURL","mediaEntities__displayURL","mediaEntities__sizes__|","mediaEntities__sizes__|__width","mediaEntities__sizes__|__height","mediaEntities__sizes__|__resize","mediaEntities__type","mediaEntities__videoAspectRatioWidth","mediaEntities__videoAspectRatioHeight","mediaEntities__videoDurationMillis","mediaEntities__start","mediaEntities__end","hashtagEntities__text","hashtagEntities__start","hashtagEntities__end","currentUserRetweetId","user__id","user__name","user__screenName","user__location","user__description","user__descriptionURLEntities__url","user__descriptionURLEntities__expandedURL","user__descriptionURLEntities__displayURL","user__descriptionURLEntities__start","user__descriptionURLEntities__end","user__urlEntity__url","user__urlEntity__expandedURL","user__urlEntity__displayURL","user__urlEntity__start","user__urlEntity__end","user__isContributorsEnabled","user__profileImageUrl","user__profileImageUrlHttps","user__isDefaultProfileImage","user__url","user__isProtected","user__followersCount","user__profileBackgroundColor","user__profileTextColor","user__profileLinkColor","user__profileSidebarFillColor","user__profileSidebarBorderColor","user__profileUseBackgroundImage","user__isDefaultProfile","user__showAllInlineMedia","user__friendsCount","user__createdAt","user__favouritesCount","user__utcOffset","user__profileBackgroundImageUrl","user__profileBackgroundImageUrlHttps","user__profileBannerImageUrl","user__profileBackgroundTiled","user__lang","user__statusesCount","user__isGeoEnabled","user__isVerified","user__translator","user__listedCount","user__isFollowRequestSent","quotedStatusId"
"Oct 26, 2018 11:09:05 AM","1055838734749446144","The suit alleges a ""persistent"" pattern of conduct that included unlawful coordination with the 2016 Trump presiden… https://t.co/PZdvBGfF5D","-1","-1","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","True","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","","","","","","https://t.co/PZdvBGfF5D","https://twitter.com/i/web/status/1055838734749446144","twitter.com/i/web/status/1…","117","140","","","","","","","","","","","","","","","","","","","","-1","138462448","Charles David","faircastle","District of Columbia, USA","""Time is the fire in which we burn"" - Delmore Schwartz","","","","","","","","","","","False","http://pbs.twimg.com/profile_images/1049042169280061444/oB4-ibHr_normal.jpg","https://pbs.twimg.com/profile_images/1049042169280061444/oB4-ibHr_normal.jpg","False","","False","273","C6E2EE","663B12","1F98C7","DAECF4","C6E2EE","True","False","False","2019","Apr 29, 2010 12:19:54 PM","3548","-1","http://abs.twimg.com/images/themes/theme2/bg.gif","https://abs.twimg.com/images/themes/theme2/bg.gif","https://pbs.twimg.com/profile_banners/138462448/1527529900","True","en","4734","True","False","False","15","False","-1"
"Oct 26, 2018 10:54:14 AM","1055834996286599169","Judge waits to hear if sitting president can be sued before ruling on Trump Foundation @CNNPolitics https://t.co/8e8ZvQYW8J","-1","-1","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","False","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","CNN Politics","CNNPolitics","13850422","87","99","https://t.co/8e8ZvQYW8J","https://cnn.it/2JfdsfP","cnn.it/2JfdsfP","100","123","","","","","","","","","","","","","","","","","","","","-1","325681531","We The People","fadetoblack119","United States","Government of the people, by the people, for the people, shall not perish from the earth. Abraham Lincoln","","","","","","","","","","","False","http://pbs.twimg.com/profile_images/796729907401216000/7ZJ3eYoE_normal.jpg","https://pbs.twimg.com/profile_images/796729907401216000/7ZJ3eYoE_normal.jpg","False","","False","527","000000","000000","1B95E0","000000","000000","False","False","False","2778","Jun 28, 2011 2:01:29 PM","43949","-1","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","https://pbs.twimg.com/profile_banners/325681531/1478790335","False","en","34492","False","False","False","1","False","-1"
"Oct 26, 2018 10:53:39 AM","1055834849557274624","Trump & Co. Criminals! Lock all of them up!\nJudge waits to hear if sitting president can be sued before ruling on T… https://t.co/hnGL1GE5zZ","-1","-1","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","True","-1","-1","False","False","1","","","","","","","","","","","","0","False","en","","","","","","https://t.co/hnGL1GE5zZ","https://twitter.com/i/web/status/1055834849557274624","twitter.com/i/web/status/1…","117","140","","","","","","","","","","","","","","","","","","","","-1","325681531","We The People","fadetoblack119","United States","Government of the people, by the people, for the people, shall not perish from the earth. Abraham Lincoln","","","","","","","","","","","False","http://pbs.twimg.com/profile_images/796729907401216000/7ZJ3eYoE_normal.jpg","https://pbs.twimg.com/profile_images/796729907401216000/7ZJ3eYoE_normal.jpg","False","","False","527","000000","000000","1B95E0","000000","000000","False","False","False","2778","Jun 28, 2011 2:01:29 PM","43949","-1","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","https://pbs.twimg.com/profile_banners/325681531/1478790335","False","en","34492","False","False","False","1","False","-1"
"Oct 26, 2018 9:52:08 AM","1055819368347680769","Judge waits to hear if sitting president can be sued before ruling on Trump Foundation @CNNPolitics https://t.co/rl2vnGKktK","-1","-1","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","False","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","CNN Politics","CNNPolitics","13850422","87","99","https://t.co/rl2vnGKktK","https://cnn.it/2JfdsfP","cnn.it/2JfdsfP","100","123","","","","","","","","","","","","","","","","","","","","-1","4293725113","Haley Burton","HaleyBurtonNews","Atlanta, GA","@UTKnoxville @UTJEM Alum #VFL •#CNN Tour Guide •Previously interned w/ The Row @CNN, @SMH, @WRCB, @6News •Co-anchored @UT_TODAYTV •PA for @MOHProject","","","","","","https://t.co/IG8LcDE6Nw","https://www.facebook.com/HaleyBurtonReporting/","facebook.com/HaleyBurtonRep…","0","23","False","http://pbs.twimg.com/profile_images/753776448406781953/2_Rbz9F4_normal.jpg","https://pbs.twimg.com/profile_images/753776448406781953/2_Rbz9F4_normal.jpg","False","https://t.co/IG8LcDE6Nw","False","1416","000000","000000","F58EA8","000000","000000","False","False","False","4785","Nov 19, 2015 3:54:19 PM","4220","-1","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","https://pbs.twimg.com/profile_banners/4293725113/1455952897","False","en","4355","True","False","False","9","False","-1"
"Oct 26, 2018 9:38:49 AM","1055816018944315392","Judge waits to hear if sitting president can be sued before ruling on Trump Foundation @CNNPolitics https://t.co/By5EKl6ekg","-1","-1","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","False","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","CNN Politics","CNNPolitics","13850422","87","99","https://t.co/By5EKl6ekg","https://cnn.it/2JfdsfP","cnn.it/2JfdsfP","100","123","","","","","","","","","","","","","","","","","","","","-1","141645754","David K","DavidKGather","","Writing about climate change, science communication, and history. Books on Nikola Tesla, Thomas Edison, and Abraham Lincoln.","","","","","","https://t.co/uBf9fKqZmW","http://www.davidjkent-writer.com/","davidjkent-writer.com","0","23","False","http://pbs.twimg.com/profile_images/883829316/06790017_20_2__normal.JPG","https://pbs.twimg.com/profile_images/883829316/06790017_20_2__normal.JPG","False","https://t.co/uBf9fKqZmW","False","273","C0DEED","333333","1DA1F2","DDEEF6","C0DEED","True","True","False","409","May 8, 2010 12:39:31 PM","19","-1","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","https://pbs.twimg.com/profile_banners/141645754/1485628981","False","en","32067","False","False","False","25","False","-1"
"Oct 26, 2018 9:27:03 AM","1055813055177805825","This is why Trump and the Republicans shoved Kavanaugh down our Collective Throats...so he could protect Trumpy fro… https://t.co/Ivr8ozuxhG","-1","-1","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","True","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","","","","","","https://t.co/Ivr8ozuxhG","https://twitter.com/i/web/status/1055813055177805825","twitter.com/i/web/status/1…","117","140","","","","","","","","","","","","","","","","","","","","-1","66807708","Eric Evan Darling","ericinkw","Dunedin, FL","56 year old Business Development Specialist ClearGage LLC","","","","","","","","","","","False","http://pbs.twimg.com/profile_images/896156752579895296/Vl5dd7d9_normal.jpg","https://pbs.twimg.com/profile_images/896156752579895296/Vl5dd7d9_normal.jpg","False","","False","29","642D8B","3D1957","FF0000","7AC3EE","65B0DA","True","False","False","58","Aug 18, 2009 5:29:58 PM","35","-1","http://abs.twimg.com/images/themes/theme10/bg.gif","https://abs.twimg.com/images/themes/theme10/bg.gif","https://pbs.twimg.com/profile_banners/66807708/1502495330","True","en","4172","True","False","False","1","False","-1"
"Oct 26, 2018 9:02:38 AM","1055806912309149696","Judge waits to hear if sitting president can be sued before ruling on Trump Foundation @CNNPolitics https://t.co/LzA8dvLNxI","-1","-1","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","False","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","CNN Politics","CNNPolitics","13850422","87","99","https://t.co/LzA8dvLNxI","https://cnn.it/2JfdsfP","cnn.it/2JfdsfP","100","123","","","","","","","","","","","","","","","","","","","","-1","45119851","Resistance Fighter","gamefish42","","","","","","","","","","","","","False","http://pbs.twimg.com/profile_images/822874119628800001/1mClR9Bs_normal.png","https://pbs.twimg.com/profile_images/822874119628800001/1mClR9Bs_normal.png","False","","False","674","0099B9","3C3940","0099B9","95E8EC","5ED4DC","True","False","False","1347","Jun 6, 2009 8:26:12 AM","20316","-1","http://abs.twimg.com/images/themes/theme4/bg.gif","https://abs.twimg.com/images/themes/theme4/bg.gif","https://pbs.twimg.com/profile_banners/45119851/1538963796","False","en","69699","True","False","False","71","False","-1"
"Oct 26, 2018 8:38:05 AM","1055800733864386561","Judge waits to hear if sitting president can be sued before ruling on Trump Foundation https://t.co/DXbIvZJ8Ya https://t.co/ZDQkcgbQMH","-1","-1","<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","False","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","","","","","","https://t.co/DXbIvZJ8Ya","http://dlvr.it/QpZZ12","dlvr.it/QpZZ12","87","110","1055800731729485824","https://t.co/ZDQkcgbQMH","http://pbs.twimg.com/media/Dqb1K_BVYAANMV5.jpg","https://pbs.twimg.com/media/Dqb1K_BVYAANMV5.jpg","https://twitter.com/Kiki_Mendo/status/1055800733864386561/photo/1","pic.twitter.com/ZDQkcgbQMH","0","150","150","101","photo","0","0","0","111","134","","","","-1","709508084734017537","Carla Mendoza","Kiki_Mendo","","","","","","","","","","","","","False","http://pbs.twimg.com/profile_images/709509844919840772/xi3r2-WV_normal.jpg","https://pbs.twimg.com/profile_images/709509844919840772/xi3r2-WV_normal.jpg","False","","False","44","F5F8FA","333333","1DA1F2","DDEEF6","C0DEED","True","True","False","109","Mar 14, 2016 6:34:44 PM","0","-1","","","","False","es","14193","False","False","False","0","False","-1"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","680","383","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1100","619","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1100","619","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oct 26, 2018 8:38:05 AM","1055800733142941697","Judge waits to hear if sitting president can be sued before ruling on Trump Foundation https://t.co/cP25wES4lb https://t.co/BJswHhB0Wd","-1","-1","<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","False","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","","","","","","https://t.co/cP25wES4lb","http://dlvr.it/QpZZ4J","dlvr.it/QpZZ4J","87","110","1055800731175870464","https://t.co/BJswHhB0Wd","http://pbs.twimg.com/media/Dqb1K89V4AAFUle.jpg","https://pbs.twimg.com/media/Dqb1K89V4AAFUle.jpg","https://twitter.com/PenepeNash/status/1055800733142941697/photo/1","pic.twitter.com/BJswHhB0Wd","0","150","150","101","photo","0","0","0","111","134","","","","-1","24989697","Penepe Nash","PenepeNash","United States","PenepeNash","","","","","","","","","","","False","http://pbs.twimg.com/profile_images/1045152639128719361/A0grJpH__normal.jpg","https://pbs.twimg.com/profile_images/1045152639128719361/A0grJpH__normal.jpg","False","","False","10789","514FD8","333333","1B95E0","6AB922","BDDCAD","False","False","False","11105","Mar 17, 2009 8:21:47 PM","5","-1","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","","False","zh-cn","121","False","False","False","56","False","-1"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","680","383","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1100","619","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1100","619","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oct 26, 2018 8:38:04 AM","1055800731171606529","Judge waits to hear if sitting president can be sued before ruling on Trump Foundation https://t.co/uYFa447h8U https://t.co/RyBbokX3ri","-1","-1","<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","False","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","","","","","","https://t.co/uYFa447h8U","http://dlvr.it/QpZZ1F","dlvr.it/QpZZ1F","87","110","1055800729527439360","https://t.co/RyBbokX3ri","http://pbs.twimg.com/media/Dqb1K20U0AA2w5c.jpg","https://pbs.twimg.com/media/Dqb1K20U0AA2w5c.jpg","https://twitter.com/puredailynews/status/1055800731171606529/photo/1","pic.twitter.com/RyBbokX3ri","0","150","150","101","photo","0","0","0","111","134","","","","-1","880717180291227648","puredailynews","puredailynews","United States","Get latest news on lifestyle, Game predictions, Breaking News, Sports News, politics news, top news stories, Nigeria news","","","","","","","","","","","False","http://pbs.twimg.com/profile_images/882183948566245377/l-arLaFA_normal.jpg","https://pbs.twimg.com/profile_images/882183948566245377/l-arLaFA_normal.jpg","False","","False","24","F5F8FA","333333","1DA1F2","DDEEF6","C0DEED","True","True","False","106","Jun 30, 2017 5:18:33 AM","0","-1","","","https://pbs.twimg.com/profile_banners/880717180291227648/1499164049","False","en","79998","False","False","False","1","False","-1"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","680","383","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1100","619","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1100","619","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oct 26, 2018 8:38:04 AM","1055800729284165632","Judge waits to hear if sitting president can be sued before ruling on Trump Foundation https://t.co/V5WfkSsS30 https://t.co/6gnxIu0IqQ","-1","-1","<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","False","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","","","","","","https://t.co/V5WfkSsS30","https://www.cnn.com/2018/10/25/politics/trump-foundation-lawsuit-wait/index.html?utm_source=dlvr.it&utm_medium=twitter","cnn.com/2018/10/25/pol…","87","110","1055800727644192770","https://t.co/6gnxIu0IqQ","http://pbs.twimg.com/media/Dqb1KvzUwAItwab.jpg","https://pbs.twimg.com/media/Dqb1KvzUwAItwab.jpg","https://twitter.com/ViralnewsUSA/status/1055800729284165632/photo/1","pic.twitter.com/6gnxIu0IqQ","0","150","150","101","photo","0","0","0","111","134","","","","-1","756998920014852096","Viral News USA","ViralnewsUSA","Estados Unidos","Viral News USA","","","","","","","","","","","False","http://pbs.twimg.com/profile_images/887295798182109185/K6ocAMZ7_normal.jpg","https://pbs.twimg.com/profile_images/887295798182109185/K6ocAMZ7_normal.jpg","False","","False","24","F5F8FA","333333","1DA1F2","DDEEF6","C0DEED","True","True","False","0","Jul 23, 2016 7:46:21 PM","0","-1","","","https://pbs.twimg.com/profile_banners/756998920014852096/1500382879","False","es","4650","False","False","False","0","False","-1"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","680","383","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1100","619","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1100","619","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oct 26, 2018 8:38:04 AM","1055800729275838464","Judge waits to hear if sitting president can be sued before ruling on Trump Foundation https://t.co/SsokBCdXNn https://t.co/2dOKdmMUah","-1","-1","<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","False","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","","","","","","https://t.co/SsokBCdXNn","https://www.cnn.com/2018/10/25/politics/trump-foundation-lawsuit-wait/index.html?utm_source=dlvr.it&utm_medium=twitter","cnn.com/2018/10/25/pol…","87","110","1055800723437322240","https://t.co/2dOKdmMUah","http://pbs.twimg.com/media/Dqb1KgIVAAASUYh.jpg","https://pbs.twimg.com/media/Dqb1KgIVAAASUYh.jpg","https://twitter.com/La52Guns/status/1055800729275838464/photo/1","pic.twitter.com/2dOKdmMUah","0","150","150","101","photo","0","0","0","111","134","","","","-1","2985387874","Ramdon77","La52Guns","","","","","","","","","","","","","False","http://pbs.twimg.com/profile_images/557088402059706368/BSNdDN20_normal.jpeg","https://pbs.twimg.com/profile_images/557088402059706368/BSNdDN20_normal.jpeg","False","","False","25","C0DEED","333333","1DA1F2","DDEEF6","C0DEED","True","True","False","174","Jan 19, 2015 3:07:45 AM","1","-1","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","https://pbs.twimg.com/profile_banners/2985387874/1448672526","False","es","4183","False","False","False","0","False","-1"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","680","383","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1100","619","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1100","619","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oct 26, 2018 8:38:04 AM","1055800727937773568","Judge waits to hear if sitting president can be sued before ruling on Trump Foundation https://t.co/kLQBPYscdz https://t.co/A8v2sOIHzL","-1","-1","<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","False","-1","-1","False","False","0","","","","","","","","","","","","0","True","en","","","","","","https://t.co/kLQBPYscdz","https://www.cnn.com/2018/10/25/politics/trump-foundation-lawsuit-wait/index.html?utm_source=dlvr.it&utm_medium=twitter","cnn.com/2018/10/25/pol…","87","110","1055800726054559746","https://t.co/A8v2sOIHzL","http://pbs.twimg.com/media/Dqb1Kp4U4AIAaUK.jpg","https://pbs.twimg.com/media/Dqb1Kp4U4AIAaUK.jpg","https://twitter.com/rlxcristian7/status/1055800727937773568/photo/1","pic.twitter.com/A8v2sOIHzL","0","150","150","101","photo","0","0","0","111","134","","","","-1","364558388","Cristina","rlxcristian7","colombia","Artista","","","","","","","","","","","False","http://pbs.twimg.com/profile_images/893443450586230784/Qwqoo9IL_normal.jpg","https://pbs.twimg.com/profile_images/893443450586230784/Qwqoo9IL_normal.jpg","False","","False","921","131516","333333","009999","EFEFEF","EEEEEE","True","False","False","1928","Aug 29, 2011 7:40:04 PM","40","-1","http://abs.twimg.com/images/themes/theme14/bg.gif","https://abs.twimg.com/images/themes/theme14/bg.gif","","True","es","4672","True","False","False","0","False","-1"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","680","383","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1100","619","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1100","619","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oct 26, 2018 8:38:02 AM","1055800723466682368","Judge waits to hear if sitting president can be sued before ruling on Trump Foundation https://t.co/P2N7ekJoWi https://t.co/cflfmV3g3I","-1","-1","<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","False","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","","","","","","https://t.co/P2N7ekJoWi","http://dlvr.it/QpZYzY","dlvr.it/QpZYzY","87","110","1055800721570844673","https://t.co/cflfmV3g3I","http://pbs.twimg.com/media/Dqb1KZLU0AE-rdG.jpg","https://pbs.twimg.com/media/Dqb1KZLU0AE-rdG.jpg","https://twitter.com/PrayForDonggala/status/1055800723466682368/photo/1","pic.twitter.com/cflfmV3g3I","0","150","150","101","photo","0","0","0","111","134","","","","-1","4758101599","#PrayForDonggala","PrayForDonggala","Indonesia","#PrayForDonggala","","","","","","","","","","","False","http://pbs.twimg.com/profile_images/1045679968477270016/29QSVlR-_normal.jpg","https://pbs.twimg.com/profile_images/1045679968477270016/29QSVlR-_normal.jpg","False","","False","139","F5F8FA","333333","1DA1F2","DDEEF6","C0DEED","True","True","False","0","Jan 14, 2016 7:55:09 AM","279","-1","","","https://pbs.twimg.com/profile_banners/4758101599/1538144524","False","id","204616","False","False","False","14","False","-1"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","680","383","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1100","619","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1100","619","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oct 26, 2018 8:37:38 AM","1055800622287474688","Judge waits to hear if sitting president can be sued before ruling on Trump Foundation https://t.co/UA8PCKp6Au https://t.co/IK8Gr6xxHn","-1","-1","<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","False","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","","","","","","https://t.co/UA8PCKp6Au","http://dlvr.it/QpZYyG","dlvr.it/QpZYyG","87","110","1055800620513288192","https://t.co/IK8Gr6xxHn","http://pbs.twimg.com/media/Dqb1EgtU4AA47Cq.jpg","https://pbs.twimg.com/media/Dqb1EgtU4AA47Cq.jpg","https://twitter.com/K_Laurensius/status/1055800622287474688/photo/1","pic.twitter.com/IK8Gr6xxHn","0","150","150","101","photo","0","0","0","111","134","","","","-1","484505756","kevin","K_Laurensius","","🇲🇨🇨🇳🇧🇷","","","","","","","","","","","False","http://pbs.twimg.com/profile_images/1022195029241032704/jfZ1lwyZ_normal.jpg","https://pbs.twimg.com/profile_images/1022195029241032704/jfZ1lwyZ_normal.jpg","False","","False","493","1A1B1F","3C3940","2FC2EF","95E8EC","FFFFFF","True","False","False","131","Feb 6, 2012 12:41:34 AM","2406","-1","http://abs.twimg.com/images/themes/theme4/bg.gif","https://abs.twimg.com/images/themes/theme4/bg.gif","https://pbs.twimg.com/profile_banners/484505756/1532545263","False","en","12043","False","False","False","0","False","-1"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","680","383","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1100","619","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1100","619","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oct 26, 2018 8:24:01 AM","1055797192206761985","Judge waits to hear if sitting president can be sued before ruling on Trump Foundation @CNNPolitics https://t.co/2IkKn5Yg4j","-1","-1","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","False","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","CNN Politics","CNNPolitics","13850422","87","99","https://t.co/2IkKn5Yg4j","https://cnn.it/2JfdsfP","cnn.it/2JfdsfP","100","123","","","","","","","","","","","","","","","","","","","","-1","4889147415","NotABillionaire","BillionairesNo","","Swimming in cash. Stable genius. The world doesn't need more billionaires. Follow the money","","","","","","","","","","","False","http://pbs.twimg.com/profile_images/697254639155023874/gBZWYVTB_normal.jpg","https://pbs.twimg.com/profile_images/697254639155023874/gBZWYVTB_normal.jpg","False","","False","6670","F5F8FA","333333","1DA1F2","DDEEF6","C0DEED","True","True","False","6917","Feb 8, 2016 1:07:14 PM","59022","-1","","","https://pbs.twimg.com/profile_banners/4889147415/1455073580","False","en","83514","False","False","False","14","False","-1"
