"createdAt","id","text","displayTextRangeStart","displayTextRangeEnd","source","isTruncated","inReplyToStatusId","inReplyToUserId","isFavorited","isRetweeted","favoriteCount","inReplyToScreenName","place__name","place__countryCode","place__id","place__country","place__placeType","place__url","place__fullName","place__boundingBoxType","place__boundingBoxCoordinates__latitude","place__boundingBoxCoordinates__longitude","retweetCount","isPossiblySensitive","lang","userMentionEntities__name","userMentionEntities__screenName","userMentionEntities__id","userMentionEntities__start","userMentionEntities__end","hashtagEntities__text","hashtagEntities__start","hashtagEntities__end","urlEntities__url","urlEntities__expandedURL","urlEntities__displayURL","urlEntities__start","urlEntities__end","mediaEntities__id","mediaEntities__url","mediaEntities__mediaURL","mediaEntities__mediaURLHttps","mediaEntities__expandedURL","mediaEntities__displayURL","mediaEntities__sizes__|","mediaEntities__sizes__|__width","mediaEntities__sizes__|__height","mediaEntities__sizes__|__resize","mediaEntities__type","mediaEntities__videoAspectRatioWidth","mediaEntities__videoAspectRatioHeight","mediaEntities__videoDurationMillis","mediaEntities__videoVariants__bitrate","mediaEntities__videoVariants__contentType","mediaEntities__videoVariants__url","mediaEntities__start","mediaEntities__end","currentUserRetweetId","user__id","user__name","user__screenName","user__location","user__description","user__descriptionURLEntities__url","user__descriptionURLEntities__expandedURL","user__descriptionURLEntities__displayURL","user__descriptionURLEntities__start","user__descriptionURLEntities__end","user__urlEntity__url","user__urlEntity__expandedURL","user__urlEntity__displayURL","user__urlEntity__start","user__urlEntity__end","user__isContributorsEnabled","user__profileImageUrl","user__profileImageUrlHttps","user__isDefaultProfileImage","user__url","user__isProtected","user__followersCount","user__profileBackgroundColor","user__profileTextColor","user__profileLinkColor","user__profileSidebarFillColor","user__profileSidebarBorderColor","user__profileUseBackgroundImage","user__isDefaultProfile","user__showAllInlineMedia","user__friendsCount","user__createdAt","user__favouritesCount","user__utcOffset","user__profileBackgroundImageUrl","user__profileBackgroundImageUrlHttps","user__profileBannerImageUrl","user__profileBackgroundTiled","user__lang","user__statusesCount","user__isGeoEnabled","user__isVerified","user__translator","user__listedCount","user__isFollowRequestSent","quotedStatusId"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1200","800","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1484","989","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oct 26, 2018 3:06:10 AM","1055717204061310976","Rep. Maxine Waters on being targeted by mail bombs: ‘I ain’t scared’ The California Democrat responded Thursday to… https://t.co/CGCQpJCmSz","-1","-1","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","True","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","","","","","","","","","https://t.co/CGCQpJCmSz","https://twitter.com/i/web/status/1055717204061310976","twitter.com/i/web/status/1…","116","139","","","","","","","","","","","","","","","","","","","","-1","885943862820208640","Connie Gilbert","connieglbert","United States","Unique elegant custom printed cases for iPhone, Smartphone, iPad, and other electronics","","","","","","https://t.co/cfywp9duRl","https://www.zazzle.com/irongall","zazzle.com/irongall","0","23","False","http://pbs.twimg.com/profile_images/885953855036551168/INVUWjz-_normal.jpg","https://pbs.twimg.com/profile_images/885953855036551168/INVUWjz-_normal.jpg","False","https://t.co/cfywp9duRl","False","241","000000","000000","FF691F","000000","000000","False","False","False","417","Jul 14, 2017 3:27:31 PM","1","-1","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","https://pbs.twimg.com/profile_banners/885943862820208640/1500062819","False","en","58093","False","False","False","4","False","-1"
"Oct 26, 2018 3:03:27 AM","1055716521803157504","Rep. Maxine Waters on being targeted by mail bombs: ‘I ain’t scared’ https://t.co/WU7W3CNJcy","-1","-1","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","False","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","","","","","","","","","https://t.co/WU7W3CNJcy","https://ift.tt/2D5iKdq","ift.tt/2D5iKdq","69","92","","","","","","","","","","","","","","","","","","","","-1","1861882417","DNP News","DNP_News","United States","Day-by-day…minute-by-minute…we bring you the world.","","","","","","","","","","","False","http://pbs.twimg.com/profile_images/678274027933184002/TPSRq8Vj_normal.jpg","https://pbs.twimg.com/profile_images/678274027933184002/TPSRq8Vj_normal.jpg","False","","False","443","C0DEED","333333","1DA1F2","DDEEF6","C0DEED","True","True","False","211","Sep 13, 2013 6:01:03 PM","0","-1","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","https://pbs.twimg.com/profile_banners/1861882417/1472016294","False","en","609421","False","False","False","38","False","-1"
"Oct 26, 2018 1:40:46 AM","1055695713970069505","the-washington-post|Rep. Maxine Waters on being targeted by mail bombs: ‘I ain’t scared’|https://t.co/njKK2fnKRF https://t.co/eH5lRpApHU","-1","-1","<a href=""http://www.lost-property.eu"" rel=""nofollow"">politics_bot</a>","False","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","","","","","","","","","https://t.co/njKK2fnKRF","https://www.washingtonpost.com/politics/rep-maxine-waters-on-being-targeted-by-mail-bombs-i-aint-scared/2018/10/25/6c8e46b8-d8a7-11e8-a10f-b51546b10756_story.html","washingtonpost.com/politics/rep-m…","89","112","1055695711742902272","https://t.co/eH5lRpApHU","http://pbs.twimg.com/media/DqaVqBFWwAA87tB.jpg","https://pbs.twimg.com/media/DqaVqBFWwAA87tB.jpg","https://twitter.com/bot_political/status/1055695713970069505/photo/1","pic.twitter.com/eH5lRpApHU","0","150","150","101","photo","0","0","0","","","","113","136","-1","868523826447089664","bot_political","bot_political","CyberSpace","Political news bot|Retweets not endorsement|Powered by https://t.co/5DKWdMaCIf|Click link below for bot-hunting and tweet mapping tools","https://t.co/5DKWdMaCIf","http://NewsAPI.org","NewsAPI.org","55","78","https://t.co/ZaB1RFgObZ","http://www.lost-property.eu/content/twitter_search.html","lost-property.eu/content/twitte…","0","23","False","http://pbs.twimg.com/profile_images/950893138364829696/MmG-tfIm_normal.jpg","https://pbs.twimg.com/profile_images/950893138364829696/MmG-tfIm_normal.jpg","False","https://t.co/ZaB1RFgObZ","False","186","000000","000000","91D2FA","000000","000000","False","False","False","1819","May 27, 2017 1:46:31 PM","9","-1","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","https://pbs.twimg.com/profile_banners/868523826447089664/1495917993","False","en","198918","False","False","False","5","False","-1"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","680","453","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1200","800","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1484","989","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oct 26, 2018 12:40:46 AM","1055680613385146369","the-washington-post|Rep. Maxine Waters on being targeted by mail bombs: ‘I ain’t scared’|https://t.co/njKK2fnKRF https://t.co/c120ilNprc","-1","-1","<a href=""http://www.lost-property.eu"" rel=""nofollow"">politics_bot</a>","False","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","","","","","","","","","https://t.co/njKK2fnKRF","https://www.washingtonpost.com/politics/rep-maxine-waters-on-being-targeted-by-mail-bombs-i-aint-scared/2018/10/25/6c8e46b8-d8a7-11e8-a10f-b51546b10756_story.html","washingtonpost.com/politics/rep-m…","89","112","1055680611271303168","https://t.co/c120ilNprc","http://pbs.twimg.com/media/DqaH7DcX4AAa3m5.jpg","https://pbs.twimg.com/media/DqaH7DcX4AAa3m5.jpg","https://twitter.com/bot_political/status/1055680613385146369/photo/1","pic.twitter.com/c120ilNprc","0","150","150","101","photo","0","0","0","","","","113","136","-1","868523826447089664","bot_political","bot_political","CyberSpace","Political news bot|Retweets not endorsement|Powered by https://t.co/5DKWdMaCIf|Click link below for bot-hunting and tweet mapping tools","https://t.co/5DKWdMaCIf","http://NewsAPI.org","NewsAPI.org","55","78","https://t.co/ZaB1RFgObZ","http://www.lost-property.eu/content/twitter_search.html","lost-property.eu/content/twitte…","0","23","False","http://pbs.twimg.com/profile_images/950893138364829696/MmG-tfIm_normal.jpg","https://pbs.twimg.com/profile_images/950893138364829696/MmG-tfIm_normal.jpg","False","https://t.co/ZaB1RFgObZ","False","186","000000","000000","91D2FA","000000","000000","False","False","False","1819","May 27, 2017 1:46:31 PM","9","-1","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","https://pbs.twimg.com/profile_banners/868523826447089664/1495917993","False","en","198918","False","False","False","5","False","-1"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","680","453","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1200","800","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1484","989","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oct 25, 2018 11:40:51 PM","1055665533620834305","the-washington-post|Rep. Maxine Waters on being targeted by mail bombs: ‘I ain’t scared’|https://t.co/njKK2fnKRF https://t.co/IWuWrH5OOd","-1","-1","<a href=""http://www.lost-property.eu"" rel=""nofollow"">politics_bot</a>","False","-1","-1","False","False","1","","","","","","","","","","","","0","False","en","","","","","","","","","https://t.co/njKK2fnKRF","https://www.washingtonpost.com/politics/rep-maxine-waters-on-being-targeted-by-mail-bombs-i-aint-scared/2018/10/25/6c8e46b8-d8a7-11e8-a10f-b51546b10756_story.html","washingtonpost.com/politics/rep-m…","89","112","1055665531280338944","https://t.co/IWuWrH5OOd","http://pbs.twimg.com/media/DqZ6NSGWsAAVI2E.jpg","https://pbs.twimg.com/media/DqZ6NSGWsAAVI2E.jpg","https://twitter.com/bot_political/status/1055665533620834305/photo/1","pic.twitter.com/IWuWrH5OOd","0","150","150","101","photo","0","0","0","","","","113","136","-1","868523826447089664","bot_political","bot_political","CyberSpace","Political news bot|Retweets not endorsement|Powered by https://t.co/5DKWdMaCIf|Click link below for bot-hunting and tweet mapping tools","https://t.co/5DKWdMaCIf","http://NewsAPI.org","NewsAPI.org","55","78","https://t.co/ZaB1RFgObZ","http://www.lost-property.eu/content/twitter_search.html","lost-property.eu/content/twitte…","0","23","False","http://pbs.twimg.com/profile_images/950893138364829696/MmG-tfIm_normal.jpg","https://pbs.twimg.com/profile_images/950893138364829696/MmG-tfIm_normal.jpg","False","https://t.co/ZaB1RFgObZ","False","186","000000","000000","91D2FA","000000","000000","False","False","False","1819","May 27, 2017 1:46:31 PM","9","-1","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","https://pbs.twimg.com/profile_banners/868523826447089664/1495917993","False","en","198918","False","False","False","5","False","-1"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","680","453","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1200","800","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1484","989","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
