"createdAt","id","text","displayTextRangeStart","displayTextRangeEnd","source","isTruncated","inReplyToStatusId","inReplyToUserId","isFavorited","isRetweeted","favoriteCount","inReplyToScreenName","place__name","place__countryCode","place__id","place__country","place__placeType","place__url","place__fullName","place__boundingBoxType","place__boundingBoxCoordinates__latitude","place__boundingBoxCoordinates__longitude","retweetCount","isPossiblySensitive","lang","userMentionEntities__name","userMentionEntities__screenName","userMentionEntities__id","userMentionEntities__start","userMentionEntities__end","urlEntities__url","urlEntities__expandedURL","urlEntities__displayURL","urlEntities__start","urlEntities__end","hashtagEntities__text","hashtagEntities__start","hashtagEntities__end","mediaEntities__id","mediaEntities__url","mediaEntities__mediaURL","mediaEntities__mediaURLHttps","mediaEntities__expandedURL","mediaEntities__displayURL","mediaEntities__sizes__|","mediaEntities__sizes__|__width","mediaEntities__sizes__|__height","mediaEntities__sizes__|__resize","mediaEntities__type","mediaEntities__videoAspectRatioWidth","mediaEntities__videoAspectRatioHeight","mediaEntities__videoDurationMillis","mediaEntities__videoVariants__bitrate","mediaEntities__videoVariants__contentType","mediaEntities__videoVariants__url","mediaEntities__start","mediaEntities__end","currentUserRetweetId","user__id","user__name","user__screenName","user__location","user__description","user__descriptionURLEntities__url","user__descriptionURLEntities__expandedURL","user__descriptionURLEntities__displayURL","user__descriptionURLEntities__start","user__descriptionURLEntities__end","user__urlEntity__url","user__urlEntity__expandedURL","user__urlEntity__displayURL","user__urlEntity__start","user__urlEntity__end","user__isContributorsEnabled","user__profileImageUrl","user__profileImageUrlHttps","user__isDefaultProfileImage","user__url","user__isProtected","user__followersCount","user__profileBackgroundColor","user__profileTextColor","user__profileLinkColor","user__profileSidebarFillColor","user__profileSidebarBorderColor","user__profileUseBackgroundImage","user__isDefaultProfile","user__showAllInlineMedia","user__friendsCount","user__createdAt","user__favouritesCount","user__utcOffset","user__profileBackgroundImageUrl","user__profileBackgroundImageUrlHttps","user__profileBannerImageUrl","user__profileBackgroundTiled","user__lang","user__statusesCount","user__isGeoEnabled","user__isVerified","user__translator","user__listedCount","user__isFollowRequestSent","quotedStatusId"
"Oct 26, 2018 6:53:37 PM","1055955636138045440","CNN digs up footage of mail bomb suspect at Trump rally in 2017 | TheHill - The Hill https://t.co/NuMPlXKjVB via @GoogleNews","-1","-1","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","False","-1","-1","False","False","1","","","","","","","","","","","","0","True","en","Google News","googlenews","33584794","113","124","https://t.co/NuMPlXKjVB","https://thehill.com/homenews/media/413415-cnn-digs-up-footage-of-mail-bomber-suspect-at-trump-rally-in-2017","thehill.com/homenews/media…","85","108","","","","","","","","","","","","","","","","","","","","","","","-1","244190490","Chris","chriswhiz4u","Great state of California","Resisting the current facist US regime ✊👊 ✌","","","","","","","","","","","False","http://pbs.twimg.com/profile_images/1035943263394394112/Aj3oDQ_J_normal.jpg","https://pbs.twimg.com/profile_images/1035943263394394112/Aj3oDQ_J_normal.jpg","False","","False","4329","022330","333333","0084B4","C0DFEC","A8C7F7","True","False","False","4912","Jan 28, 2011 1:52:07 PM","50800","-1","http://abs.twimg.com/images/themes/theme15/bg.png","https://abs.twimg.com/images/themes/theme15/bg.png","https://pbs.twimg.com/profile_banners/244190490/1539541034","False","en","49527","True","False","False","75","False","-1"
"Oct 26, 2018 6:48:56 PM","1055954461074644992","Video shows pipe bomb suspect waving anti-CNN sign at Trump rally https://t.co/RZN9OzcluS","-1","-1","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","False","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","","","","","","https://t.co/RZN9OzcluS","http://hill.cm/2zJwxJw","hill.cm/2zJwxJw","66","89","","","","","","","","","","","","","","","","","","","","","","","-1","1599701442","Phyllis Stein","PhyllisKStein","Saint Louis, Missouri","Research Associate Professor of Medicine, HRV Expert/Consulting, Somatic Experiencing Practitioner, Lover of life and humor.  Messenger of love.","","","","","","","","","","","False","http://pbs.twimg.com/profile_images/378800000148992961/5816bd2a89597ede102d4d7fbe3925b6_normal.jpeg","https://pbs.twimg.com/profile_images/378800000148992961/5816bd2a89597ede102d4d7fbe3925b6_normal.jpeg","False","","False","50","C0DEED","333333","1DA1F2","DDEEF6","C0DEED","True","True","False","46","Jul 16, 2013 9:46:12 PM","174","-1","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","","False","en","31969","False","False","False","3","False","-1"
"Oct 26, 2018 6:45:21 PM","1055953556593954818","CNN digs up footage of mail bomb suspect at Trump rally in 2017 https://t.co/gRCMCo0qTa","-1","-1","<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","False","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","","","","","","https://t.co/gRCMCo0qTa","http://dld.bz/hdr4X","dld.bz/hdr4X","64","87","","","","","","","","","","","","","","","","","","","","","","","-1","21351506","EagleStar.NET","EagleStarNET","The Great Wide Open","Available properties and buyers, for real estate with opportunities to buy, to sell, to trade, to enjoy.  We make it known.","","","","","","http://t.co/fYS9l77sdY","http://www.eaglestar.net","eaglestar.net","0","22","False","http://pbs.twimg.com/profile_images/1281792618/es_logo_metallic_gold_2_normal.jpg","https://pbs.twimg.com/profile_images/1281792618/es_logo_metallic_gold_2_normal.jpg","False","http://t.co/fYS9l77sdY","False","114775","1C1C1C","220869","283CED","B0C2D9","04094F","True","False","False","10153","Feb 19, 2009 6:19:04 PM","99","-1","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","https://pbs.twimg.com/profile_banners/21351506/1400212457","False","en","835887","False","False","False","507","False","-1"
"Oct 26, 2018 6:24:35 PM","1055948332953206786","Video shows pipe bomb suspect waving anti-CNN sign at Trump rally https://t.co/SGTqEmOkEo","-1","-1","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","False","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","","","","","","https://t.co/SGTqEmOkEo","http://hill.cm/2zJwxJw","hill.cm/2zJwxJw","66","89","","","","","","","","","","","","","","","","","","","","","","","-1","2400406939","Major GloriaADowney","majorgadowney","Felton, CA","Filmmaker. Warrior. Visionary.","","","","","","https://t.co/lWDu4PI1OF","http://thegloriousg.com","thegloriousg.com","0","23","False","http://pbs.twimg.com/profile_images/736256954268454912/GQWQLj1k_normal.jpg","https://pbs.twimg.com/profile_images/736256954268454912/GQWQLj1k_normal.jpg","False","https://t.co/lWDu4PI1OF","False","129","000000","000000","981CEB","000000","000000","False","False","False","182","Mar 20, 2014 4:18:50 PM","684","-1","http://abs.twimg.com/images/themes/theme4/bg.gif","https://abs.twimg.com/images/themes/theme4/bg.gif","https://pbs.twimg.com/profile_banners/2400406939/1499215434","False","en","2556","False","False","False","3","False","-1"
"Oct 26, 2018 6:09:53 PM","1055944631962152960","I think it may be the same sign that’s taped up in van. https://t.co/JO20xjJYxO","-1","-1","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","False","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","","","","","","https://t.co/JO20xjJYxO","http://hill.cm/2zJwxJw","hill.cm/2zJwxJw","56","79","","","","","","","","","","","","","","","","","","","","","","","-1","60846970","Lavay Smith","LavaySmith","San Francisco","","","","","","","http://t.co/8Y2UmVpywS","http://lavaysmith.com","lavaysmith.com","0","22","False","http://pbs.twimg.com/profile_images/1878783487/n639398199_1159027_7092_normal.jpg","https://pbs.twimg.com/profile_images/1878783487/n639398199_1159027_7092_normal.jpg","False","http://t.co/8Y2UmVpywS","False","275","C0DEED","333333","1DA1F2","DDEEF6","C0DEED","True","True","False","23","Jul 28, 2009 4:04:58 AM","0","-1","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","","False","en","11672","False","False","False","17","False","-1"
"Oct 26, 2018 5:59:40 PM","1055942061608914944","CNN digs up footage of mail bomb suspect Cesar Sayoc #MAGABomber at Trump rally in 2017 https://t.co/xamTW7SWLu","-1","-1","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","False","-1","-1","False","False","0","","","","","","","","","","","","0","True","en","","","","","","https://t.co/xamTW7SWLu","https://thehill.com/homenews/media/413415-cnn-digs-up-footage-of-mail-bomber-suspect-at-trump-rally-in-2017","thehill.com/homenews/media…","88","111","MAGABomber","53","64","","","","","","","","","","","","","","","","","","","","-1","18780679","Edgars Freibergs","Nightshade_Nine","Indianapolis, IN","Anthropologist, Pagan Witch., Opinionated Independent, Latvian-American Naturist","","","","","","http://t.co/I0p2M1QlHT","http://shadesofmidnights.tumblr.com/","shadesofmidnights.tumblr.com","0","22","False","http://pbs.twimg.com/profile_images/1031739962192842752/w-HESO2Y_normal.jpg","https://pbs.twimg.com/profile_images/1031739962192842752/w-HESO2Y_normal.jpg","False","http://t.co/I0p2M1QlHT","False","266","000000","000000","981CEB","000000","000000","False","False","False","540","Jan 8, 2009 4:42:01 PM","1357","-1","http://abs.twimg.com/images/themes/theme14/bg.gif","https://abs.twimg.com/images/themes/theme14/bg.gif","https://pbs.twimg.com/profile_banners/18780679/1539308627","False","en","7947","False","False","False","25","False","-1"
"Oct 26, 2018 5:57:01 PM","1055941394618032129","CNN digs up footage of mail bomb suspect at Trump rally in 2017 https://t.co/GfxSJCjxoR via @TheHill #news https://t.co/nwHx46Ty44","-1","-1","<a href=""http://twibble.io"" rel=""nofollow"">Twibble.io</a>","False","-1","-1","False","False","1","","","","","","","","","","","","0","False","en","The Hill","thehill","1917731","92","100","https://t.co/GfxSJCjxoR","http://twib.in/l/kg4aqM8dB6eL","twib.in/l/kg4aqM8dB6eL","64","87","news","101","106","1055941392403480577","https://t.co/nwHx46Ty44","http://pbs.twimg.com/media/Dqd1Gg3XQAEbfH8.jpg","https://pbs.twimg.com/media/Dqd1Gg3XQAEbfH8.jpg","https://twitter.com/The_News_DIVA/status/1055941394618032129/photo/1","pic.twitter.com/nwHx46Ty44","0","150","150","101","photo","0","0","0","","","","107","130","-1","15501305","The_News_DIVA🎀","The_News_DIVA","Croton-on-Hudson, NY","#NYC 🗽 24 hr. #News 📰. Followed by @BarackObama, @BritneySpears, @OctaviaSpencer, @MorgFair, @Barbi_Twins, @DEADLINE #MAJIX  \n🇺🇸  🇫🇷 Member of #TheResistance 🌊","","","","","","https://t.co/GGw0oCYLK3","http://paper.li/The_News_DIVA/1333163729#/","paper.li/The_News_DIVA/…","0","23","False","http://pbs.twimg.com/profile_images/2339424243/yi6x1e8o318u40z0gp3w_normal.png","https://pbs.twimg.com/profile_images/2339424243/yi6x1e8o318u40z0gp3w_normal.png","False","https://t.co/GGw0oCYLK3","False","93521","0A32AB","000000","0E0BBD","102E87","000000","True","False","False","110362","Jul 20, 2008 9:30:12 AM","358325","-1","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","https://pbs.twimg.com/profile_banners/15501305/1401597465","True","en","1640324","False","False","False","1928","False","-1"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","680","382","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","980","551","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","980","551","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
